"yearold","stnum","adopt","fiscal","eelct1","elect2","income","neighbor","religion","gov6099","cit6099","wideodif","year","ideodistgov6099","malideodistgov6099","ideology_relative_berry"
72,3,0,-0.068000003695488,0,1,87.2200012207031,0,14.5,10.8249998092651,49.7354507446289,10.8249998092651,9,34.1973152160645,34.1973152160645,35.8238000869751
73,3,0,-0.061999998986721,0,1,91.629997253418,0,14.5,9.00000286102295,43.5825309753418,9.00000286102295,10,45.7388076782227,45.7388076782227,45.7388079961141
74,3,0,-0.028999999165535,1,0,94.9100036621094,0,14.5,5.1000018119812,41.7247505187988,5.1000018119812,11,56.621898651123,56.621898651123,52.2118360655648
75,3,0,-0.0649999976158142,0,0,94.1600036621094,0,14.5,57.0400009155273,37.3575592041016,57.0400009155273,12,7.02639007568359,7.02639007568359,15.3755781000311
76,3,0,-0.0280000008642673,0,1,90.9499969482422,0,14.5,54.0400009155273,34.5542106628418,54.0400009155273,13,12.5060806274414,12.5060806274414,16.4066979090373
77,3,0,-0.151999995112419,0,1,93.7600021362305,0,14.5,36.8611106872559,29.8103103637695,36.8611106872559,14,29.6849708557129,29.6849708557129,27.1633755366007
78,3,0,-0.0700000002980232,1,0,96.879997253418,0,14.5,32.3638916015625,25.2360992431641,32.3638916015625,15,34.1821899414062,34.1821899414062,31.6605946222941
79,3,0,-0.0359999984502792,0,0,103.300003051758,0,14.5,24.5611095428467,21.294059753418,24.5611095428467,16,31.1330127716064,31.1330127716064,38.4523146702693
80,3,0,-0.00600000005215406,0,1,98.75,0,14.5,29.4555492401123,25.5469799041748,29.4555492401123,17,26.2385730743408,26.2385730743408,33.5578749730037
81,3,1,-0.0270000007003546,0,1,101.300003051758,0,14.5,27.6666698455811,23.9259490966797,22.5,18,28.0274524688721,28.0274524688721,35.3467543675349
64,4,0,-0.186000004410744,1,0,45.4500007629395,0,29.6000003814697,47.5833282470703,34.298168182373,19.9166603088379,1,0,3.18666458129883,3.18666500846545
65,4,0,-0.158000007271767,0,0,47.2200012207031,0,29.6000003814697,33.8555603027344,20.7397308349609,6.18888998031616,2,15.3944396972656,15.3944396972656,15.3944396972656
66,4,0,-0.153999999165535,1,0,51.6399993896484,0,29.6000003814697,33.2999992370605,18.9646797180176,5.63332986831665,3,15.9500007629395,15.9500007629395,15.9500007629395
67,4,0,0.00400000018998981,0,0,54.689998626709,0,29.6000003814697,14.6000003814697,16.5582809448242,13.0666704177856,4,34.6500015258789,34.6500015258789,34.6499996185303
68,4,0,-0.0179999992251396,1,0,55.6599998474121,0,29.6000003814697,7.34999990463257,8.87901878356934,20.3166694641113,5,42.5517730712891,42.5517730712891,42.551769733429
69,4,0,-0.0670000016689301,0,0,61.7299995422363,0,29.6000003814697,23.25,25.8292999267578,4.41666984558105,6,26.6517715454102,26.6517715454102,26.6517696380615
70,4,0,-0.0230000000447035,1,0,63.2400016784668,0,29.6000003814697,22.3999996185303,24.1661891937256,5.26667022705078,7,27.5017719268799,27.5017719268799,27.5017700195312
71,4,0,-0.00999999977648258,0,0,66.4599990844727,0,29.6000003814697,58.5999984741211,42.0917701721191,30.9333305358887,8,8.69822692871094,8.69822692871094,8.69822883605957
72,4,0,-0.0329999998211861,1,0,68.4199981689453,0,29.6000003814697,35.0999984741211,24.7689208984375,7.43333005905151,9,9.92231750488281,9.92231750488281,11.5488014221191
73,4,0,0.0320000015199184,0,0,70.379997253418,0,29.6000003814697,46.5999984741211,33.2725296020508,18.9333305358887,10,8.13881301879883,8.13881301879883,13.2644151051839
74,4,0,0.0750000029802322,1,0,80.7399978637695,0,29.6000003814697,39.2000007629395,30.1298007965088,11.5333299636841,11,22.521900177002,22.521900177002,18.5460292271205
75,4,0,-0.00100000004749745,0,0,77.1999969482422,0,29.6000003814697,36.2000007629395,28.6373291015625,8.53332996368408,12,27.8663902282715,27.8663902282715,26.8267114812678
76,4,0,-0.0820000022649765,1,0,74.5199966430664,0,29.6000003814697,41.0999984741211,31.9656391143799,13.4333295822144,13,25.4460830688477,25.4460830688477,23.6539557774862
77,4,0,-0.108999997377396,0,0,80.7399978637695,0,29.6000003814697,49.5,37.368221282959,21.8333301544189,14,17.0460815429688,17.0460815429688,18.0956214269002
78,4,0,-0.0829999968409538,1,0,82.870002746582,0,29.6000003814697,38.2000007629395,27.4224700927734,10.5333299636841,15,28.3460807800293,28.3460807800293,25.9110975265503
79,4,0,-0.0149999996647239,0,0,86.3099975585938,0,29.6000003814697,45.75,33.9108505249023,18.0833301544189,16,9.94412231445312,9.94412231445312,19.3675490159255
80,4,0,-0.0520000010728836,1,0,85.4000015258789,0,29.6000003814697,45.5,28.9365501403809,17.8333301544189,17,10.1941223144531,10.1941223144531,19.5406259390024
81,4,0,-0.0209999997168779,0,0,83.629997253418,0,29.6000003814697,43,43.182300567627,15.3333301544189,18,12.6941223144531,12.6941223144531,21.2713951697716
82,4,0,-0.0540000014007092,1,0,84.870002746582,0,29.6000003814697,37.125,37.2015495300293,9.45833015441895,19,6.36043930053711,6.36043930053711,24.7148460660662
83,4,0,-0.0520000010728836,0,0,84.2200012207031,0,29.6000003814697,65.25,41.1353187561035,37.5833282470703,20,4.73943328857422,4.73943328857422,17.2167941331863
84,4,0,-0.0529999993741512,1,0,86.25,0,29.6000003814697,54.625,35.2253799438477,26.9583301544189,21,3.00837326049805,3.00837326049805,16.8360426285688
85,4,0,-0.00300000002607703,0,0,102.599998474121,1,29.6000003814697,66.5999984741211,46.1532211303711,38.9333305358887,22,10.4962539672852,10.4962539672852,16.8563761938186
86,4,0,-0.0309999994933605,1,0,93.7399978637695,1,29.6000003814697,62.4000015258789,40.6966705322266,34.7333297729492,23,5.41945648193359,5.41945648193359,15.7125413201072
64,5,0,-0.321000009775162,0,1,86.5,0,6.19999980926514,91.3181762695312,56.1660499572754,63.6515083312988,1,0,40.5481834411621,40.5481830139955
65,5,0,-0.319999992847443,0,1,89.1999969482422,0,6.19999980926514,90.2045364379883,50.9016189575195,62.5378684997559,2,40.9545364379883,40.9545364379883,40.9545364379883
66,5,0,-0.33899998664856,1,0,91.4000015258789,0,6.19999980926514,87.1174163818359,48.3936309814453,59.4507484436035,3,37.8674163818359,37.8674163818359,37.8674163818359
67,5,0,-0.175999999046326,0,0,94.0699996948242,0,6.19999980926514,34.9738082885742,49.9979705810547,7.30713987350464,4,14.2761917114258,14.2761917114258,14.2761917114258
68,5,0,-0.207000002264977,0,1,98.2600021362305,0,6.19999980926514,41.1609001159668,53.9883117675781,13.4942302703857,5,8.74087142944336,8.74087142944336,8.74086952209473
69,5,0,-0.105999998748302,0,1,100.5,0,6.19999980926514,33.4492607116699,55.3774909973145,5.78258991241455,6,16.4525108337402,16.4525108337402,16.4525089263916
70,5,0,-0.116999998688698,1,0,103.099998474121,0,6.19999980926514,30.7826099395752,53.8465118408203,3.11594009399414,7,19.119161605835,19.119161605835,19.1191596984863
71,5,0,-0.112999998033047,0,0,103.5,0,6.19999980926514,43.6904411315918,54.0147514343262,16.0237693786621,8,6.21133041381836,6.21133041381836,6.21132850646973
72,5,0,-0.179000005125999,0,1,103.199996948242,0,6.19999980926514,42.8998107910156,53.466869354248,15.2331399917603,9,2.12250518798828,2.12250518798828,5.58695602416992
73,5,0,-0.0769999995827675,0,1,107.400001525879,0,6.19999980926514,44.6073112487793,53.0606498718262,16.9406394958496,10,10.1315002441406,10.1315002441406,13.9286441802979
74,5,0,-0.0329999998211861,1,0,111.699996948242,0,6.19999980926514,43.7162895202637,53.7790107727051,16.0496196746826,11,18.0056114196777,18.0056114196777,16.3410884312221
